employee_id,gender,state,city,education_level,birthdate,hiredate,termdate,department,job_title,salary,performance_rating,full_name,status,age
00-10001272,Female,West Virginia,Huntington,Bachelor,1975-01-11,2018-10-30,,Customer Service,Help Desk Technician,66787.0,Satisfactory,Samuel Burgess,Active,51
00-10006914,Male,Michigan,Detroit,High School,1980-09-24,2022-10-12,,Operations,Inventory Specialist,63874.0,Needs Improvement,Ethan Case,Active,46
00-10008169,Male,Michigan,Warren,Bachelor,1959-07-28,2022-11-23,,Operations,Operations Analyst,88579.0,Good,Barbara Blair,Active,67
00-10012470,Female,Michigan,Grand Rapids,Bachelor,1989-02-23,2019-10-15,,Finance,Accountant,62543.0,Good,Amy Davidson,Active,37
00-10017850,Male,New York,New York City,Bachelor,2000-09-18,2016-10-07,,Sales,Sales Specialist,92123.0,Good,Ricky Serrano,Active,26
00-10033114,Male,New York,New York City,Bachelor,2001-07-05,2017-09-12,,Operations,Logistics Coordinator,64807.0,Good,Kathryn Scott,Active,25
00-10047461,Female,Illinois,Naperville,Bachelor,1992-12-14,2016-08-08,,Finance,Accountant,70778.0,Satisfactory,Steven Armstrong,Active,34
00-10076576,Male,New York,Buffalo,Bachelor,1999-06-06,2020-01-03,,Operations,Inventory Specialist,63824.0,Excellent,Erica Kelly,Active,27
00-10076959,Male,New York,Buffalo,Bachelor,1963-04-30,2017-03-31,,Marketing,Marketing Coordinator,76850.0,Satisfactory,Mark Stewart,Active,63
00-10080009,Female,New York,Buffalo,Bachelor,1977-10-01,2023-01-09,,Sales,Sales Representative,59328.0,Good,Gabrielle Crane,Active,49
00-10113173,Female,Michigan,Detroit,High School,1987-05-22,2022-07-22,,Marketing,Content Creator,60340.0,Satisfactory,Carol Smith,Active,39
00-10113880,Male,New York,Buffalo,High School,1986-08-27,2017-03-21,,Marketing,Content Creator,54733.0,Good,Brad Hobbs,Active,40
00-10122731,Female,Ohio,Cleveland,Master,1969-05-31,2016-02-22,,Operations,Operations Analyst,79145.0,Excellent,Travis Aguirre,Active,57
00-10137666,Female,New York,Buffalo,Bachelor,1977-03-16,2021-04-18,,Marketing,Marketing Coordinator,75028.0,Needs Improvement,Ralph Sanford,Active,49
00-10146265,Female,New York,New York City,Bachelor,1982-10-14,2017-06-29,,Finance,Accountant,68161.0,Needs Improvement,Melanie Rodriguez,Active,44
00-10147197,Female,New York,Buffalo,Bachelor,1984-03-16,2023-03-10,,Operations,Operations Analyst,56478.0,Good,Henry Mccarthy,Active,42
00-10159801,Female,North Carolina,Greensboro,Master,1974-08-15,2017-02-04,,Sales,Sales Specialist,86547.0,Good,James Chavez,Active,52
00-10171954,Female,New York,New York City,Bachelor,1979-09-10,2015-09-01,,Finance,Accounts Payable Specialist,55510.0,Satisfactory,Kathryn Williams,Active,47
00-10183025,Male,New York,Rochester,Bachelor,1981-10-02,2023-05-21,,Operations,Logistics Coordinator,65693.0,Excellent,Danny Cole,Active,45
00-10195370,Male,Illinois,Naperville,High School,1970-09-06,2018-03-21,,Customer Service,Support Specialist,64056.0,Good,Daniel Maxwell,Active,56
00-10202363,Female,New York,New York City,Bachelor,1996-03-26,2022-04-21,,Sales,Sales Representative,52278.0,Satisfactory,Michelle Lang,Active,30
00-10209961,Male,New York,New York City,Bachelor,1989-05-30,2021-06-05,2021-12-02,Sales,Sales Representative,64892.0,Good,Daniel Graham,Terminated,37
00-10213612,Female,New York,New York City,Bachelor,1976-02-23,2021-10-08,,Operations,Operations Analyst,60624.0,Satisfactory,Gabriel Harris,Active,50
00-10225283,Female,New York,Rochester,High School,1972-11-03,2018-01-15,,Operations,Inventory Specialist,59233.0,Satisfactory,Ryan Long,Active,54
00-10256489,Female,New York,Buffalo,Bachelor,1981-02-16,2024-05-06,,Sales,Sales Representative,68287.0,Satisfactory,Sue Howe,Active,45
00-10261534,Female,Ohio,Cincinnati,Bachelor,1977-03-27,2024-06-24,,Operations,Logistics Coordinator,62856.0,Good,Kevin Potter,Active,49
00-10270663,Female,New York,New York City,Bachelor,1984-03-04,2017-08-11,,Sales,Sales Representative,57572.0,Excellent,William Wilson,Active,42
00-10274812,Female,New York,Rochester,Bachelor,1972-04-01,2021-10-15,,Operations,Inventory Specialist,67571.0,Good,Heather Madden,Active,54
00-10279945,Female,New York,Rochester,High School,1961-04-28,2016-12-04,,HR,Recruiter,70509.0,Satisfactory,Karen Stephens,Active,65
00-10289289,Female,New York,New York City,Bachelor,1978-07-29,2024-01-22,2024-07-20,Customer Service,Help Desk Technician,61403.0,Good,Robert Shields,Terminated,48
00-10299883,Male,New York,Rochester,Bachelor,1970-05-23,2022-05-05,,Marketing,Marketing Coordinator,69918.0,Good,Shawn Sanchez,Active,56
00-10302186,Female,New York,Buffalo,High School,1973-04-12,2018-03-22,,Operations,Inventory Specialist,65488.0,Satisfactory,Amy Davis,Active,53
00-10308646,Female,New York,Rochester,High School,1989-06-01,2017-05-28,,Marketing,Content Creator,59706.0,Satisfactory,Kristy Wilson,Active,37
00-10329821,Male,New York,New York City,Bachelor,1999-09-12,2022-04-30,,Operations,Inventory Specialist,57722.0,Good,Mercedes Patterson,Active,27
00-10331931,Male,New York,New York City,PhD,1989-01-22,2017-09-11,2018-03-09,Sales,Sales Specialist,78790.0,Excellent,Gabriella Abbott,Terminated,37
00-10332878,Female,Virginia,Norfolk,Bachelor,2000-08-29,2024-10-20,,Operations,Logistics Coordinator,55750.0,Good,William Potter,Active,26
00-10333912,Male,Illinois,Naperville,Bachelor,1971-05-14,2018-12-03,,Operations,Logistics Coordinator,62346.0,Satisfactory,Angela Perry,Active,55
00-10338423,Male,West Virginia,Charleston,PhD,1996-09-19,2023-08-30,,Sales,Sales Specialist,78128.0,Good,Amanda Bradley,Active,30
00-10339260,Female,New York,Rochester,Bachelor,1973-08-09,2019-12-16,,Marketing,SEO Specialist,61326.0,Good,Diana Jones,Active,53
00-10355692,Female,New York,Buffalo,High School,1962-04-04,2015-10-24,,Operations,Inventory Specialist,56998.0,Excellent,Samuel Ayala,Active,64
00-10358749,Female,New York,New York City,High School,1978-04-05,2023-11-16,,Marketing,Content Creator,59294.0,Satisfactory,Kimberly Mercado,Active,48
00-10392185,Male,North Carolina,Raleigh,High School,1977-12-27,2016-03-09,,Customer Service,Customer Service Representative,59847.0,Needs Improvement,Sherry Carpenter,Active,49
